 Temperature,Relat_Humid,Wind_Speed ,Solar Radi,Surf_Out_ Temp
6.175079027,83.33333333,0.104036794,228.4352087,29.51489138
6.375079027,79.66666667,0.208073588,243.4498311,30.78068927
6.575079027,76,0.312110381,258.628056,31.92815815
6.775079027,72.33333333,0.416147175,277.5266859,33.49195251
6.975079027,68.66666667,0.520183969,314.514399,36.74479363
7.175079027,65,0.624220763,334.1144482,37.82231229
7.475079027,64.5,0.946734824,353.7400164,39.06912312
7.775079027,64,1.269248885,373.2999169,40.33078271
8.075079027,63.5,1.591762946,392.7049059,41.59711595
8.375079027,63,1.914277007,413.1211222,38.47028794
8.675079027,62.5,2.236791067,415.5550177,38.8602588
8.975079027,62,2.559305128,417.5670653,38.66130671
9.141745693,61.33333333,2.559305128,419.1468671,38.9754112
9.30841236,60.66666667,2.559305128,420.2839266,39.16897963
9.475079027,60,2.559305128,420.9677756,39.34805373
9.641745693,59.33333333,2.559305128,418.3484509,39.28503132
9.80841236,58.66666667,2.559305128,415.2576394,39.2280446
9.975079027,58,2.559305128,411.6958341,39.13547338
10.05841236,55.5,2.288809464,407.6638041,39.39207978
10.14174569,53,2.0183138,403.162738,39.58606274
10.22507903,50.5,1.747818136,398.1943721,44.10845479
10.30841236,48,1.477322472,379.7113926,41.92278708
10.39174569,45.5,1.206826808,361.2391531,41.2072973
10.47507903,43,0.936331144,342.8305938,40.19339896
10.39174569,45.5,1.206826808,324.537438,38.21674841
10.30841236,48,1.477322472,306.4098606,36.51131847
10.22507903,50.5,1.747818136,288.495894,34.81031354
10.14174569,53,2.0183138,259.2167298,29.06741641
10.05841236,55.5,2.288809464,231.0908676,27.16963413
9.975079027,58,2.559305128,191.5612992,23.88443858
9.641745693,59.33333333,2.351231541,165.7157308,21.97355793
9.30841236,60.66666667,2.143157953,141.040554,19.91692897
8.975079027,62,1.935084365,117.6638952,17.8979056
8.641745693,63.33333333,1.727010778,105.2613301,16.78097821
8.30841236,64.66666667,1.51893719,93.81852129,15.62106251
7.975079027,66,1.310863602,77.15303935,13.91594653
7.941745693,65.5,1.248441526,62.1749944,13.29662948
7.90841236,65,1.18601945,43.95514762,11.16554518
7.875079027,64.5,1.123597373,0,5.785340231
7.841745693,64,1.061175297,0,5.694858544
7.80841236,63.5,0.998753221,0,5.622340812
7.775079027,63,0.936331144,0,5.551223791
6.975079027,66,0.884312748,0,4.660244751
6.175079027,69,0.832294351,0,3.866307667
5.375079027,72,0.780275954,0,3.061938549
4.575079027,75,0.728257557,0,2.256385176
3.775079027,78,0.67623916,0,1.449902731
2.975079027,81,0.624220763,0,0.644960489
2.80841236,80.83333333,0.572202366,0,0.503388821
2.641745693,80.66666667,0.520183969,0,0.286174488
2.475079027,80.5,0.468165572,0,0.076007391
2.30841236,80.33333333,0.416147175,0,-0.13607255
2.141745693,80.16666667,0.364128778,0,-0.349395116
1.975079027,80,0.312110381,0,-0.564429847
2.341745693,80,0.364128778,0,-0.133844913
2.70841236,80,0.416147175,0,0.235356679
3.075079027,80,0.468165572,0,0.872958024
3.441745693,80,0.520183969,0,1.232591003
3.80841236,80,0.572202366,0,1.61329411
4.175079027,80,0.624220763,0,1.990976796
4.025079027,80.16666667,0.520183969,0,1.751202338
3.875079027,80.33333333,0.416147175,0,1.557005091
3.725079027,80.5,0.312110381,0,1.347617837
3.575079027,80.66666667,0.208073588,0,1.122866415
3.425079027,80.83333333,0.104036794,0,0.866016055
3.275079027,81,0,0,0.396502704
3.10841236,81.16666667,0,0,0.270835385
2.941745693,81.33333333,0,0,0.124533161
2.775079027,81.5,0,0,-0.032207352
2.60841236,81.66666667,0,0,-0.195079415
2.441745693,81.83333333,0,0,-0.353410946
2.275079027,82,0,0,-0.508940436
2.125079027,82,0.052018397,0,-0.54214406
1.975079027,82,0.104036794,0,-0.66134198
1.825079027,82,0.156055191,0,-0.783730441
1.675079027,82,0.208073588,0,-0.911728965
1.525079027,82,0.260091985,0,-1.043108417
1.375079027,82,0.312110381,0,-1.176452581
1.291745693,81.33333333,0.260091985,0,-1.061435842
1.20841236,80.66666667,0.208073588,0,-1.214020484
1.125079027,80,0.156055191,0,-1.348342614
1.041745693,79.33333333,0.104036794,0,-1.497024137
0.95841236,78.66666667,0.052018397,0,-1.668914664
0.875079027,78,0,0,-1.994074151
0.80841236,77.16666667,0.104036794,0,-1.699851747
0.741745693,76.33333333,0.208073588,0,-1.686526849
0.675079027,75.5,0.312110381,0,-1.678569536
0.60841236,74.66666667,0.416147175,0,-1.686990331
0.541745693,73.83333333,0.520183969,0,-1.704360546
0.475079027,73,0.624220763,0,-1.728244019
0.391745693,72.33333333,0.624220763,0,-1.821863122
0.30841236,71.66666667,0.624220763,0,-1.909088081
0.225079027,71,0.624220763,0,-1.996842034
0.141745693,70.33333333,0.624220763,0,-2.084526903
0.05841236,69.66666667,0.624220763,0,-2.172210937
-0.024920973,69,0.624220763,0,-2.259876752
-0.124920973,69.5,0.520183969,0,-2.405284802
-0.224920973,70,0.416147175,0,-2.552619185
-0.324920973,70.5,0.312110381,0,-2.710414155
-0.424920973,71,0.208073588,0,-2.884406515
-0.524920973,71.5,0.104036794,0,-3.25364629
-0.624920973,72,0,0,-3.494952937
-0.808254307,72.16666667,0.052018397,0,-3.539665951
-0.99158764,72.33333333,0.104036794,0,-3.687143659
-1.174920973,72.5,0.156055191,0,-3.83540442
-1.358254307,72.66666667,0.208073588,0,-3.990182749
-1.54158764,72.83333333,0.260091985,0,-4.148352218
-1.724920973,73,0.312110381,0,-4.309087525
-1.74158764,73.83333333,0.312110381,0,-4.299914864
-1.758254307,74.66666667,0.312110381,0,-4.309039211
-1.774920973,75.5,0.312110381,0,-4.316025208
-1.79158764,76.33333333,0.312110381,0,-4.323245045
-1.808254307,77.16666667,0.312110381,0,-4.330422663
-1.824920973,78,0.312110381,0,-4.337587482
-2.158254307,78,0.260091985,0,-4.725211593
-2.49158764,78,0.208073588,0,-5.068447693
-2.824920973,78,0.156055191,0,-5.430296168
-3.158254307,78,0.104036794,0,-5.792031859
-3.49158764,78,0.052018397,0,-6.167368686
-3.824920973,78,0,0,-6.620605366
-4.024920973,77.16666667,0,0,-6.784300494
-4.224920973,76.33333333,0,0,-6.953729822
-4.424920973,75.5,0,0,-7.187599475
-4.624920973,74.66666667,0,0,-7.381693222
-4.824920973,73.83333333,0,67.34210948,4.126940968
-5.024920973,73,0,94.29259271,6.000393476
-4.558254307,73.83333333,0.104036794,116.7507107,7.926220969
-4.09158764,74.66666667,0.208073588,136.7655288,9.976356775
-3.624920973,75.5,0.312110381,150.5133679,11.26095703
-3.158254307,76.33333333,0.416147175,177.2005514,14.09778751
-2.69158764,77.16666667,0.520183969,205.6585143,16.71314041
-2.224920973,78,0.624220763,235.6830856,19.40244413
-1.874920973,76,0.738661236,267.1261072,21.93162532
-1.524920973,74,0.853101709,299.8632139,24.51040302
-1.174920973,72,0.967542183,336.8942503,27.35588366
-0.824920973,70,1.081982656,360.7917999,28.89072585
-0.474920973,68,1.196423129,384.8445814,30.67123086
-0.124920973,66,1.310863602,409.0703903,32.37708057
0.225079027,64.33333333,1.51893719,433.4543375,33.81154936
0.575079027,62.66666667,1.727010778,457.9611597,35.29703753
0.925079027,61,1.935084365,482.5422991,42.30433604
1.275079027,59.33333333,2.143157953,484.0185082,40.71667414
1.625079027,57.66666667,2.351231541,484.5019188,41.19636056
1.975079027,56,2.559305128,484.0117669,41.11803258
2.041745693,55.33333333,2.403249938,482.566254,41.2849721
2.10841236,54.66666667,2.247194747,474.3546758,40.81887601
2.175079027,54,2.091139556,471.930551,41.00476381
2.241745693,53.33333333,1.935084365,478.0846411,41.79498395
2.30841236,52.66666667,1.779029175,483.7959707,42.41499293
2.375079027,52,1.622973984,489.0498995,43.05187738
2.475079027,51,1.674992381,493.8321062,43.32019192
2.575079027,50,1.727010778,498.1287172,43.63702329
2.675079027,49,1.779029175,501.9263899,43.89985848
2.775079027,48,1.831047571,506.7405349,44.26226058
2.875079027,47,1.883065968,518.0937198,45.16309732
2.975079027,46,1.935084365,522.2319135,45.30700849
3.141745693,44.5,1.987102762,525.6816564,45.64653135
3.30841236,43,2.039121159,528.4323219,45.87898509
3.475079027,41.5,2.091139556,530.4722334,46.07472007
3.641745693,40,2.143157953,529.6712304,46.04183624
3.80841236,38.5,2.19517635,528.1224353,46.00253525
3.975079027,37,2.247194747,525.823855,45.90335038
3.95841236,35,2.19517635,522.7732939,45.70209352
3.941745693,33,2.143157953,518.9686537,45.46102222
3.925079027,31,2.091139556,514.4081924,45.16477372
3.90841236,29,2.039121159,487.5586739,42.98193357
3.891745693,27,1.987102762,460.7642884,41.21244235
3.875079027,25,1.935084365,434.0783049,39.31531212
3.725079027,27.5,1.883065968,407.5378495,37.36844693
3.575079027,30,1.831047571,381.1558402,35.40330575
3.425079027,32.5,1.779029175,351.3975369,33.09063057
3.275079027,35,1.727010778,324.1126332,31.02136509
3.125079027,37.5,1.674992381,297.4489704,28.90442647
2.975079027,40,1.622973984,271.7815928,26.8364905
2.80841236,39.83333333,1.883065968,246.6788025,24.38620237
2.641745693,39.66666667,2.143157953,222.4884332,22.09688616
2.475079027,39.5,2.403249938,199.33832,19.87571006
2.30841236,39.33333333,2.663341922,177.5635836,17.77307445
2.141745693,39.16666667,2.923433907,157.0563368,15.76499112
1.975079027,39,3.183525891,128.088842,12.88109888
1.991745693,40.33333333,2.923433907,100.6630194,10.55517577
2.00841236,41.66666667,2.663341922,77.22306682,8.448646084
2.025079027,43,2.403249938,0,0.06139648
2.041745693,44.33333333,2.143157953,0,-0.00483767
2.05841236,45.66666667,1.883065968,0,0.013746298
2.075079027,47,1.622973984,0,0.026454103
1.391745693,50.5,1.35247832,0,-0.730386001
0.70841236,54,1.081982656,0,-1.402409891
0.025079027,57.5,0.811486992,0,-2.090978762
-0.658254307,61,0.540991328,0,-2.789333721
-1.34158764,64.5,0.270495664,0,-3.510995678
-2.024920973,68,0,0,-4.380082469
